,Datum,Plaats,Klassement,Klassement.1,Klassement.2,Klassement.3,Klassement.4,Kwalif.,Afstanden(km),min.leeftijd,Organisator,Inschrijflink,Uitslag,Opmerking,gemeente,latitude,longitude,Datum_dt,dag,Kwalificatie,Klassementen
0,16-09-2023,Udenhout,,,K,J,,"KWALIFICATIERUN  Deze survivalrun staat geregistreerd als een kwalificatierun. Recreatieve SBNleden (>18 jaar) kunnen bij elk van deze survivalruns bij het MET bandje voltooien van een aangemerkte individuele categorie kwalificatiepunten verdienen. Afhankelijk van de gekozen categorie zijn 1, 2 of zelfs 3 licentie kwalificatiepunten te verdienen! Een top-5 uitslag bij de mannen of een top-3 uitslag bij de vrouwen levert je DUBBELE punten op! Vanaf seizoen 2018-2019 zijn 6 punten nodig om een SBN klassementslicentie aan te kunnen vragen!  Meer informatie op de SBN website via de SBN reglementen.","5,5 - 7 km",vanaf 10 jaar,Stichting Survive and Feelgood,>schrijf hier in<,,za,Tilburg,51.6348382,5.2090164,2023-09-16,zaterdag,Ja,K - J
1,17-09-2023,Udenhout,L,M,,,,"KWALIFICATIERUN  Deze survivalrun staat geregistreerd als een kwalificatierun. Recreatieve SBNleden (>18 jaar) kunnen bij elk van deze survivalruns bij het MET bandje voltooien van een aangemerkte individuele categorie kwalificatiepunten verdienen. Afhankelijk van de gekozen categorie zijn 1, 2 of zelfs 3 licentie kwalificatiepunten te verdienen! Een top-5 uitslag bij de mannen of een top-3 uitslag bij de vrouwen levert je DUBBELE punten op! Vanaf seizoen 2018-2019 zijn 6 punten nodig om een SBN klassementslicentie aan te kunnen vragen!  Meer informatie op de SBN website via de SBN reglementen.",12 - 18 km,vanaf 15 jaar,Stichting Survive and Feelgood,>schrijf hier in<,,zo,Tilburg,51.6348382,5.2090164,2023-09-17,zondag,Ja,L - M
2,24-09-2023,Enschede,,,,,,,5 - 7 km,vanaf 6 jaar,Stichting Rutbeeksurvival,>schrijf hier in<,,,Enschede,52.204661,6.8812288,2023-09-24,zondag,Nee,
3,10-12-2023,Enschede,,,K,,B,"KWALIFICATIERUN  Deze survivalrun staat geregistreerd als een kwalificatierun. Recreatieve SBNleden (>18 jaar) kunnen bij elk van deze survivalruns bij het MET bandje voltooien van een aangemerkte individuele categorie kwalificatiepunten verdienen. Afhankelijk van de gekozen categorie zijn 1, 2 of zelfs 3 licentie kwalificatiepunten te verdienen! Een top-5 uitslag bij de mannen of een top-3 uitslag bij de vrouwen levert je DUBBELE punten op! Vanaf seizoen 2018-2019 zijn 6 punten nodig om een SBN klassementslicentie aan te kunnen vragen!  Meer informatie op de SBN website via de SBN reglementen.",6 - 9 km,vanaf 8 jaar,D.S.S.V. Tartaros,,,,Enschede,52.204661,6.8812288,2023-12-10,zondag,Ja,K - B
4,24-09-2023,Ede,,,K,J,B,"KWALIFICATIERUN  Deze survivalrun staat geregistreerd als een kwalificatierun. Recreatieve SBNleden (>18 jaar) kunnen bij elk van deze survivalruns bij het MET bandje voltooien van een aangemerkte individuele categorie kwalificatiepunten verdienen. Afhankelijk van de gekozen categorie zijn 1, 2 of zelfs 3 licentie kwalificatiepunten te verdienen! Een top-5 uitslag bij de mannen of een top-3 uitslag bij de vrouwen levert je DUBBELE punten op! Vanaf seizoen 2018-2019 zijn 6 punten nodig om een SBN klassementslicentie aan te kunnen vragen!  Meer informatie op de SBN website via de SBN reglementen.","4,5 - 7 - 8 km",vanaf 6 jaar,Tuxis Ede's Best Run,,,,Ede,52.0431065,5.6682725,2023-09-24,zondag,Ja,K - J - B
5,01-10-2023,Leeuwarden,L,M,K,J,B,"KWALIFICATIERUN  Deze survivalrun staat geregistreerd als een kwalificatierun. Recreatieve SBNleden (>18 jaar) kunnen bij elk van deze survivalruns bij het MET bandje voltooien van een aangemerkte individuele categorie kwalificatiepunten verdienen. Afhankelijk van de gekozen categorie zijn 1, 2 of zelfs 3 licentie kwalificatiepunten te verdienen! Een top-5 uitslag bij de mannen of een top-3 uitslag bij de vrouwen levert je DUBBELE punten op! Vanaf seizoen 2018-2019 zijn 6 punten nodig om een SBN klassementslicentie aan te kunnen vragen!  Meer informatie op de SBN website via de SBN reglementen.","5,5 - 8 - 11 km",vanaf 8 jaar,Stichting Survivalrun Friesland,Opent 11-06-2023 19:00,,,Leeuwarden,53.223301,5.7516999,2023-10-01,zondag,Ja,L - M - K - J - B
6,14-10-2023,Boerakker,,M,K,J,B,"KWALIFICATIERUN  Deze survivalrun staat geregistreerd als een kwalificatierun. Recreatieve SBNleden (>18 jaar) kunnen bij elk van deze survivalruns bij het MET bandje voltooien van een aangemerkte individuele categorie kwalificatiepunten verdienen. Afhankelijk van de gekozen categorie zijn 1, 2 of zelfs 3 licentie kwalificatiepunten te verdienen! Een top-5 uitslag bij de mannen of een top-3 uitslag bij de vrouwen levert je DUBBELE punten op! Vanaf seizoen 2018-2019 zijn 6 punten nodig om een SBN klassementslicentie aan te kunnen vragen!  Meer informatie op de SBN website via de SBN reglementen.","4 - 6,5 - 9 - 14 km",vanaf 6 jaar,Stichting Survivalteam Boerakker,,,,Marum,53.1991307,6.3416175,2023-10-14,zaterdag,Ja,M - K - J - B
7,15-10-2023,Rotterdam,,,,,,"KWALIFICATIERUN  Deze survivalrun staat geregistreerd als een kwalificatierun. Recreatieve SBNleden (>18 jaar) kunnen bij elk van deze survivalruns bij het MET bandje voltooien van een aangemerkte individuele categorie kwalificatiepunten verdienen. Afhankelijk van de gekozen categorie zijn 1, 2 of zelfs 3 licentie kwalificatiepunten te verdienen! Een top-5 uitslag bij de mannen of een top-3 uitslag bij de vrouwen levert je DUBBELE punten op! Vanaf seizoen 2018-2019 zijn 6 punten nodig om een SBN klassementslicentie aan te kunnen vragen!  Meer informatie op de SBN website via de SBN reglementen.",5 - 8 km,vanaf 8 jaar,Outdoor Valley,,,,Rotterdam,51.926789,4.421901,2023-10-15,zondag,Ja,
8,22-10-2023,Neede,,,K,,,"KWALIFICATIERUN  Deze survivalrun staat geregistreerd als een kwalificatierun. Recreatieve SBNleden (>18 jaar) kunnen bij elk van deze survivalruns bij het MET bandje voltooien van een aangemerkte individuele categorie kwalificatiepunten verdienen. Afhankelijk van de gekozen categorie zijn 1, 2 of zelfs 3 licentie kwalificatiepunten te verdienen! Een top-5 uitslag bij de mannen of een top-3 uitslag bij de vrouwen levert je DUBBELE punten op! Vanaf seizoen 2018-2019 zijn 6 punten nodig om een SBN klassementslicentie aan te kunnen vragen!  Meer informatie op de SBN website via de SBN reglementen.",7 - 14 km,vanaf 10 jaar,Stichting Survivalrun Neede,Opent 02-07-2023 19:00,,,Berkelland,52.1168296,6.5307119,2023-10-22,zondag,Ja,K
9,29-10-2023,Deest,,,K,,B,"KWALIFICATIERUN  Deze survivalrun staat geregistreerd als een kwalificatierun. Recreatieve SBNleden (>18 jaar) kunnen bij elk van deze survivalruns bij het MET bandje voltooien van een aangemerkte individuele categorie kwalificatiepunten verdienen. Afhankelijk van de gekozen categorie zijn 1, 2 of zelfs 3 licentie kwalificatiepunten te verdienen! Een top-5 uitslag bij de mannen of een top-3 uitslag bij de vrouwen levert je DUBBELE punten op! Vanaf seizoen 2018-2019 zijn 6 punten nodig om een SBN klassementslicentie aan te kunnen vragen!  Meer informatie op de SBN website via de SBN reglementen.",5 - 8 km,vanaf 10 jaar,Stichting Survivalrun Deest,Opent 01-07-2023 18:00,,,Druten,51.8892306,5.6660108,2023-10-29,zondag,Ja,K - B
